Appareil suivi unique,Type,Moyenne consommation annuelle AN1,Moyenne consommation annuelle AN2
Sécurité,CAMÉRA WIFI,224.2,39.8
Sécurité,PORTE OU PORTAIL AUTOMATIQUE,73.55,74.025
Sécurité,VISIOPHONE,40.2,42.1
Sécurité,VOLETS ROULANTS,14.155555555555555,12.077777777777776
Tablettes_smartph,SMART PHONE,1.45,4.3
Tablettes_smartph,TABLETTE,4.5,3.9333333333333336
Téléviseurs,Téléviseurs PRINCIPAL,154.25596330275238,143.81009174311922
Téléviseurs,Téléviseurs SECONDAIRE,63.615384615384606,54.81923076923077
Tondeuse,Tondeuse,3.766666666666667,1.7666666666666668
Ventilation,Ventilation,210.05454545454552,190.63818181818183
